S&P 500 Momentum Tracker - High History
Generated: 2026-01-31 08:58:40 UTC
==========================================================================================

Stocks ranked by number of times hitting 52-Week High or All-Time High
Higher hits = stronger momentum

Total unique stocks tracked: 120
🚀 High momentum (3+ hits): 69
📈 Building momentum (2 hits): 12
✨ New breakouts (1 hit): 39

|   # | Ticker   | Name                           |   Hits | Last Hit   | 2nd Last   | 3rd Last   |
|  91 | JNJ      | Johnson & Johnson              |      1 | 2025-12-22 |            |            |
|  92 | GOOGL    | Alphabet Inc.                  |      1 | 2025-12-22 |            |            |
|  93 | O        | Realty Income Corporation      |      1 | 2025-12-22 |            |            |
|  94 | ECL      | Ecolab Inc.                    |      1 | 2025-12-22 |            |            |
|  95 | NEE      | NextEra Energy, Inc.           |      1 | 2025-12-22 |            |            |
|  96 | NI       | NiSource Inc                   |      1 | 2025-12-22 |            |            |
|  97 | WMB      | Williams Companies, Inc. (The) |      1 | 2025-12-22 |            |            |
|  98 | CBRE     | CBRE Group Inc                 |      1 | 2025-12-22 |            |            |
|  99 | TDY      | Teledyne Technologies Incorpor |      1 | 2025-12-22 |            |            |
| 100 | DE       | Deere & Company                |      1 | 2025-12-22 |            |            |
| 101 | SYY      | Sysco Corporation              |      1 | 2025-12-22 |            |            |
| 102 | LMT      | Lockheed Martin Corporation    |      1 | 2025-12-22 |            |            |
| 103 | FE       | FirstEnergy Corp.              |      1 | 2025-12-22 |            |            |
| 104 | ROK      | Rockwell Automation, Inc.      |      1 | 2025-12-22 |            |            |
| 105 | NOC      | Northrop Grumman Corporation   |      1 | 2025-12-22 |            |            |
| 106 | CSX      | CSX Corporation                |      1 | 2025-12-22 |            |            |
| 107 | TSN      | Tyson Foods, Inc.              |      1 | 2025-12-22 |            |            |
| 108 | BEN      | Franklin Resources, Inc.       |      1 | 2025-12-22 |            |            |
| 109 | EIX      | Edison International           |      1 | 2025-12-22 |            |            |
| 110 | HAS      | Hasbro, Inc.                   |      1 | 2025-12-22 |            |            |
| 111 | COP      | ConocoPhillips                 |      1 | 2025-12-22 |            |            |
| 112 | MSCI     | MSCI Inc.                      |      1 | 2025-12-22 |            |            |
| 113 | CNP      | CenterPoint Energy, Inc (Holdi |      1 | 2025-12-22 |            |            |
| 114 | PNW      | Pinnacle West Capital Corporat |      1 | 2025-12-22 |            |            |
| 115 | PM       | Philip Morris International In |      1 | 2025-12-22 |            |            |
| 116 | VZ       | Verizon Communications Inc.    |      1 | 2025-12-22 |            |            |
| 117 | DAL      | Delta Air Lines, Inc.          |      1 | 2025-12-24 |            |            |
| 118 | MCO      | Moody's Corporation            |      1 | 2025-12-26 |            |            |
| 119 | EXPD     | Expeditors International of Wa |      1 | 2025-12-26 |            |            |
| 120 | DG       | Dollar General Corporation     |      1 | 2025-12-26 |            |            |
