S&P 500 High Tracker Snapshot
Data Date: 2025-12-26
Generated: 2026-01-31 08:58:40 UTC
Total stocks: 503
================================================================================

| Ticker   | Name                            |   Price |   Market Cap (B) |   52W High |   % From 52W High |   All-Time High |   % From ATH | At 52W High   | At ATH   |
| CSCO     | Cisco Systems, Inc.             |   77.74 |           309.45 |      80.39 |             -3.29 |           80.39 |        -3.29 | False         | False    |
| ALL      | Allstate Corporation (The)      |  207.80 |            52.43 |     214.88 |             -3.29 |          214.88 |        -3.29 | False         | False    |
| MCD      | McDonald's Corporation          |  310.68 |           224.79 |     321.79 |             -3.45 |          321.79 |        -3.45 | False         | False    |
| CME      | CME Group Inc.                  |  276.73 |           103.92 |     286.76 |             -3.50 |          286.76 |        -3.50 | False         | False    |
| JNJ      | Johnson & Johnson               |  207.63 |           547.51 |     215.19 |             -3.51 |          215.19 |        -3.51 | False         | False    |
| MA       | Mastercard Incorporated         |  578.73 |           481.38 |     600.08 |             -3.56 |          600.08 |        -3.56 | False         | False    |
| GL       | Globe Life Inc.                 |  141.93 |            11.36 |     147.26 |             -3.62 |          147.26 |        -3.62 | False         | False    |
| PRU      | Prudential Financial, Inc.      |  113.97 |            39.10 |     118.31 |             -3.67 |          124.11 |        -8.17 | False         | False    |
| CBRE     | CBRE Group Inc                  |  164.71 |            50.69 |     171.00 |             -3.68 |          171.00 |        -3.68 | False         | False    |
| WDC      | Western Digital Corporation     |  181.54 |            84.84 |     188.77 |             -3.83 |          188.77 |        -3.83 | False         | False    |
| ROK      | Rockwell Automation, Inc.       |  399.79 |            47.41 |     415.89 |             -3.87 |          415.89 |        -3.87 | False         | False    |
| AMGN     | Amgen Inc.                      |  332.93 |           184.10 |     346.38 |             -3.88 |          346.38 |        -3.88 | False         | False    |
| KEYS     | Keysight Technologies Inc.      |  206.04 |            37.17 |     214.58 |             -3.98 |          214.58 |        -3.98 | False         | False    |
| WBD      | Warner Bros. Discovery, Inc. -  |   28.80 |            68.29 |      30.00 |             -4.00 |           78.14 |       -63.14 | False         | False    |
| JKHY     | Jack Henry & Associates, Inc.   |  186.13 |            13.02 |     194.03 |             -4.07 |          203.32 |        -8.46 | False         | False    |
| GOOG     | Alphabet Inc.                   |  314.96 |          4086.68 |     328.46 |             -4.11 |          328.46 |        -4.11 | False         | False    |
| KO       | Coca-Cola Company (The)         |   69.87 |           321.96 |      72.91 |             -4.17 |           72.91 |        -4.17 | False         | False    |
| APP      | Applovin Corporation            |  714.23 |           160.03 |     745.61 |             -4.21 |          745.61 |        -4.21 | False         | False    |
| CTSH     | Cognizant Technology Solutions  |   85.57 |            40.08 |      89.37 |             -4.26 |           89.37 |        -4.26 | False         | False    |
| BIIB     | Biogen Inc.                     |  177.08 |            26.39 |     185.17 |             -4.37 |          480.18 |       -63.12 | False         | False    |
| GOOGL    | Alphabet Inc.                   |  313.51 |          4093.90 |     328.62 |             -4.60 |          328.62 |        -4.60 | False         | False    |
| TMO      | Thermo Fisher Scientific Inc    |  580.74 |           217.39 |     608.82 |             -4.61 |          664.90 |       -12.66 | False         | False    |
| APH      | Amphenol Corporation            |  137.43 |           176.36 |     144.09 |             -4.62 |          144.09 |        -4.62 | False         | False    |
| AFL      | AFLAC Incorporated              |  109.90 |            59.34 |     115.24 |             -4.63 |          115.24 |        -4.63 | False         | False    |
| TSLA     | Tesla, Inc.                     |  475.19 |          1615.08 |     498.83 |             -4.74 |          498.83 |        -4.74 | False         | False    |
| D        | Dominion Energy, Inc.           |   59.20 |            51.38 |      62.17 |             -4.77 |           74.37 |       -20.40 | False         | False    |
| LUV      | Southwest Airlines Company      |   41.28 |            24.96 |      43.35 |             -4.78 |           60.59 |       -31.87 | False         | False    |
| YUM      | Yum! Brands, Inc.               |  153.24 |            43.18 |     160.96 |             -4.79 |          160.96 |        -4.79 | False         | False    |
| F        | Ford Motor Company              |   13.31 |            55.30 |      13.99 |             -4.86 |           19.73 |       -32.53 | False         | False    |
| WMT      | Walmart Inc.                    |  111.74 |           949.89 |     117.45 |             -4.86 |          117.45 |        -4.86 | False         | False    |
| STE      | STERIS plc (Ireland)            |  255.42 |            25.86 |     268.60 |             -4.91 |          268.60 |        -4.91 | False         | False    |
| CNP      | CenterPoint Energy, Inc (Holdin |   38.29 |            25.91 |      40.28 |             -4.93 |           40.28 |        -4.93 | False         | False    |
| AVY      | Avery Dennison Corporation      |  182.54 |            14.34 |     192.30 |             -5.08 |          226.70 |       -19.48 | False         | False    |
| GD       | General Dynamics Corporation    |  340.81 |            94.93 |     359.03 |             -5.08 |          359.03 |        -5.08 | False         | False    |
| V        | Visa Inc.                       |  355.00 |           620.50 |     374.11 |             -5.11 |          374.11 |        -5.11 | False         | False    |
| AMAT     | Applied Materials, Inc.         |  261.90 |           255.83 |     276.10 |             -5.14 |          276.10 |        -5.14 | False         | False    |
| WTW      | Willis Towers Watson Public Lim |  333.68 |            30.97 |     351.82 |             -5.16 |          351.82 |        -5.16 | False         | False    |
| ETR      | Entergy Corporation             |   92.85 |            42.82 |      97.93 |             -5.18 |           97.93 |        -5.18 | False         | False    |
| AAPL     | Apple Inc.                      |  273.40 |          3813.82 |     288.62 |             -5.27 |          288.62 |        -5.27 | False         | False    |
| ABBV     | AbbVie Inc.                     |  228.14 |           394.14 |     241.12 |             -5.38 |          241.12 |        -5.38 | False         | False    |
| FRT      | Federal Realty Investment Trust |  101.20 |             8.78 |     107.04 |             -5.45 |          118.75 |       -14.78 | False         | False    |
| VMC      | Vulcan Materials Company (Holdi |  294.20 |            39.71 |     311.21 |             -5.47 |          311.21 |        -5.47 | False         | False    |
| RL       | Ralph Lauren Corporation        |  358.11 |            21.43 |     379.04 |             -5.52 |          379.04 |        -5.52 | False         | False    |
| PNW      | Pinnacle West Capital Corporati |   88.40 |            11.20 |      93.67 |             -5.62 |           93.67 |        -5.62 | False         | False    |
| LMT      | Lockheed Martin Corporation     |  483.03 |           146.76 |     512.11 |             -5.68 |          597.48 |       -19.16 | False         | False    |
| FSLR     | First Solar, Inc.               |  269.69 |            24.20 |     285.99 |             -5.70 |          317.00 |       -14.92 | False         | False    |
| HUBB     | Hubbell Inc                     |  454.94 |            25.93 |     482.66 |             -5.74 |          482.66 |        -5.74 | False         | False    |
| HAL      | Halliburton Company             |   27.96 |            28.58 |      29.67 |             -5.76 |           59.79 |       -53.24 | False         | False    |
| AEE      | Ameren Corporation              |   99.81 |            27.94 |     105.97 |             -5.81 |          105.97 |        -5.81 | False         | False    |
| BEN      | Franklin Resources, Inc.        |   23.86 |            13.86 |      25.37 |             -5.96 |           35.73 |       -33.21 | False         | False    |
| HSY      | The Hershey Company             |  184.20 |            39.49 |     195.98 |             -6.01 |          256.47 |       -28.18 | False         | False    |
| LVS      | Las Vegas Sands Corp.           |   66.20 |            36.20 |      70.45 |             -6.03 |           94.73 |       -30.12 | False         | False    |
| O        | Realty Income Corporation       |   56.17 |            56.15 |      59.78 |             -6.03 |           62.13 |        -9.60 | False         | False    |
| FE       | FirstEnergy Corp.               |   44.85 |            27.35 |      47.73 |             -6.04 |           47.73 |        -6.04 | False         | False    |
| IBM      | International Business Machines |  305.09 |           286.68 |     324.90 |             -6.10 |          324.90 |        -6.10 | False         | False    |
| ISRG     | Intuitive Surgical, Inc.        |  577.81 |           180.75 |     616.00 |             -6.20 |          616.00 |        -6.20 | False         | False    |
| MET      | MetLife, Inc.                   |   80.30 |            52.46 |      85.61 |             -6.20 |           86.54 |        -7.21 | False         | False    |
| LNT      | Alliant Energy Corporation      |   64.71 |            16.94 |      69.03 |             -6.25 |           69.03 |        -6.25 | False         | False    |
| ATO      | Atmos Energy Corporation        |  168.13 |            26.91 |     179.62 |             -6.40 |          179.62 |        -6.40 | False         | False    |
| NI       | NiSource Inc                    |   41.72 |            20.96 |      44.58 |             -6.42 |           44.58 |        -6.42 | False         | False    |
| DLTR     | Dollar Tree, Inc.               |  123.95 |            23.98 |     132.48 |             -6.44 |          177.19 |       -30.05 | False         | False    |
| BKNG     | Booking Holdings Inc. Common St | 5440.14 |           162.11 |    5818.24 |             -6.50 |         5818.24 |        -6.50 | False         | False    |
| CVS      | CVS Health Corporation          |   78.96 |            94.60 |      84.46 |             -6.51 |           96.73 |       -18.37 | False         | False    |
| TSN      | Tyson Foods, Inc.               |   58.56 |            23.07 |      62.66 |             -6.55 |           88.63 |       -33.93 | False         | False    |
| ECL      | Ecolab Inc.                     |  265.75 |            79.98 |     284.56 |             -6.61 |          284.56 |        -6.61 | False         | False    |
| CCL      | Carnival Corporation            |   30.70 |            41.50 |      32.89 |             -6.66 |           66.92 |       -54.12 | False         | False    |
| RJF      | Raymond James Financial, Inc.   |  164.74 |            32.67 |     176.55 |             -6.69 |          176.55 |        -6.69 | False         | False    |
| MSCI     | MSCI Inc.                       |  584.99 |            45.78 |     627.03 |             -6.70 |          650.23 |       -10.03 | False         | False    |
| DVN      | Devon Energy Corporation        |   35.67 |            25.53 |      38.23 |             -6.71 |           80.38 |       -55.62 | False         | False    |
| SRE      | DBA Sempra                      |   88.61 |            56.79 |      95.03 |             -6.75 |           95.03 |        -6.75 | False         | False    |
| HPE      | Hewlett Packard Enterprise Comp |   24.49 |            28.72 |      26.28 |             -6.82 |           26.28 |        -6.82 | False         | False    |
| MTD      | Mettler-Toledo International, I | 1420.10 |            28.29 |    1525.17 |             -6.89 |         1714.75 |       -17.18 | False         | False    |
| UNP      | Union Pacific Corporation       |  233.44 |           139.45 |     250.85 |             -6.94 |          255.44 |        -8.61 | False         | False    |
| FIX      | Comfort Systems USA, Inc.       |  963.83 |            40.29 |    1036.67 |             -7.03 |         1036.67 |        -7.03 | False         | False    |
| PNR      | Pentair plc.                    |  105.42 |            17.27 |     113.41 |             -7.05 |          113.41 |        -7.05 | False         | False    |
| OMC      | Omnicom Group Inc.              |   80.03 |            24.45 |      86.12 |             -7.07 |          102.31 |       -21.77 | False         | False    |
| CAT      | Caterpillar, Inc.               |  581.64 |           307.96 |     626.04 |             -7.09 |          626.04 |        -7.09 | False         | False    |
| STX      | Seagate Technology Holdings PLC |  286.22 |            88.82 |     308.12 |             -7.11 |          308.12 |        -7.11 | False         | False    |
| MMM      | 3M Company                      |  162.08 |            81.36 |     174.69 |             -7.22 |          174.69 |        -7.22 | False         | False    |
| TEL      | TE Connectivity plc             |  232.49 |            65.39 |     250.67 |             -7.25 |          250.67 |        -7.25 | False         | False    |
